"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"91",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.236,0.546,0.05,0.393,0.235,0.418,0.05,0.223,0.0794946638440411,0.0415473319220207
"92",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.49,0.676,0.087,0.384,0.437,0.554,0.066,0.221,0.107992885125388,0.0700455532033676
"93",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.1,0.9,0.737,0.809,0.198,0.389,0.633,0.702,0.111,0.217,0.138091106406735,0.100143774484715
"94",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.1,0.9,0.907,0.887,0.374,0.371,0.799,0.811,0.186,0.213,0.169789327688082,0.131841995766062
"95",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.1,0.9,0.974,0.939,0.575,0.363,0.896,0.881,0.278,0.205,0.203087548969429,0.165140217047409
"96",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.1,0.9,0.994,0.974,0.751,0.37,0.953,0.94,0.387,0.206,0.237985770250776,0.200038438328756
"97",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.38,0.788,0.05,0.614,0.378,0.641,0.05,0.351,0.107592885125388,0.056996442562694
"98",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.643,0.871,0.085,0.595,0.571,0.759,0.065,0.352,0.136891106406735,0.0862946638440413
"99",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.1,0.9,0.863,0.938,0.195,0.592,0.765,0.853,0.108,0.331,0.167789327688082,0.117192885125388
"100",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.1,0.9,0.95,0.964,0.362,0.575,0.885,0.914,0.188,0.342,0.200287548969429,0.149691106406735
"101",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.1,0.9,0.992,0.99,0.571,0.592,0.962,0.968,0.279,0.329,0.234385770250776,0.183789327688082
"102",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.1,0.9,0.998,0.994,0.741,0.555,0.985,0.979,0.393,0.313,0.270083991532123,0.219487548969429
"103",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.551,0.933,0.05,0.801,0.548,0.831,0.05,0.507,0.136491106406735,0.0732455532033677
"104",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.1,0.9,0.796,0.97,0.085,0.795,0.737,0.896,0.064,0.485,0.166589327688082,0.103343774484715
"105",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.1,0.9,0.927,0.983,0.191,0.773,0.863,0.932,0.106,0.457,0.198287548969429,0.135041995766061
"106",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.1,0.9,0.984,0.995,0.363,0.778,0.944,0.974,0.181,0.486,0.231585770250776,0.168340217047409
"107",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.1,0.9,0.997,0.998,0.539,0.761,0.98,0.987,0.272,0.46,0.266483991532123,0.203238438328756
"108",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,1,1,0.731,0.773,0.994,0.996,0.374,0.447,0.30298221281347,0.239736659610103
"109",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"110",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.15,0.85,0.138,0.077,0.11,0.05,0.1,0.077,0.074,0.05,0.0260982212813471,0.0260982212813471
"111",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.15,0.85,0.415,0.155,0.313,0.05,0.263,0.151,0.156,0.05,0.0537964425626939,0.0537964425626939
"112",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.15,0.85,0.731,0.297,0.561,0.05,0.508,0.283,0.277,0.05,0.0830946638440412,0.0830946638440412
"113",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.15,0.85,0.927,0.455,0.815,0.05,0.744,0.45,0.464,0.05,0.113992885125388,0.113992885125388
"114",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.984,0.631,0.927,0.05,0.879,0.615,0.594,0.05,0.146491106406735,0.146491106406735
"115",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.15,0.85,0.078,0.131,0.05,0.106,0.079,0.107,0.05,0.078,0.0256982212813469,0.0130491106406735
"116",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.15,0.85,0.275,0.263,0.111,0.108,0.215,0.221,0.076,0.08,0.052596442562694,0.0399473319220206
"117",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.15,0.85,0.599,0.447,0.289,0.108,0.445,0.388,0.148,0.079,0.081094663844041,0.0684455532033676
"118",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.15,0.85,0.856,0.617,0.546,0.105,0.678,0.556,0.261,0.077,0.111192885125388,0.0985437744847145
"119",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.15,0.85,0.974,0.772,0.79,0.103,0.859,0.706,0.418,0.076,0.142891106406735,0.130241995766062
"120",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.15,0.85,0.996,0.866,0.932,0.103,0.943,0.811,0.593,0.076,0.176189327688082,0.163540217047409
"121",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.15,0.85,0.171,0.384,0.05,0.283,0.178,0.292,0.05,0.166,0.0521964425626941,0.0268982212813472
"122",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.15,0.85,0.457,0.575,0.11,0.287,0.381,0.475,0.075,0.171,0.0798946638440411,0.0545964425626943
"123",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.15,0.85,0.764,0.736,0.287,0.278,0.619,0.626,0.145,0.161,0.109192885125388,0.0838946638440411
"124",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.15,0.85,0.948,0.861,0.561,0.272,0.846,0.778,0.281,0.16,0.140091106406735,0.114792885125388
"125",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.15,0.85,0.988,0.936,0.763,0.27,0.936,0.896,0.41,0.159,0.172589327688082,0.147291106406735
"126",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.15,0.85,0.999,0.979,0.911,0.266,0.985,0.954,0.566,0.153,0.206687548969429,0.181389327688082
"127",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.15,0.85,0.329,0.708,0.05,0.545,0.326,0.561,0.05,0.329,0.0794946638440411,0.0415473319220207
"128",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.15,0.85,0.667,0.852,0.108,0.542,0.59,0.738,0.072,0.298,0.107992885125388,0.0700455532033676
"129",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.15,0.85,0.893,0.932,0.28,0.533,0.801,0.866,0.144,0.309,0.138091106406735,0.100143774484715
"130",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.15,0.85,0.98,0.978,0.519,0.533,0.925,0.943,0.248,0.297,0.169789327688082,0.131841995766062
"131",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.15,0.85,0.998,0.993,0.765,0.535,0.982,0.977,0.419,0.306,0.203087548969429,0.165140217047409
"132",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.15,0.85,1,0.998,0.912,0.524,0.997,0.991,0.566,0.28,0.237985770250776,0.200038438328756
"133",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.15,0.85,0.556,0.927,0.05,0.805,0.551,0.82,0.05,0.52,0.107592885125388,0.056996442562694
"134",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.15,0.85,0.818,0.974,0.105,0.799,0.762,0.919,0.072,0.499,0.136891106406735,0.0862946638440413
"135",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.15,0.85,0.968,0.991,0.285,0.783,0.924,0.963,0.143,0.474,0.167789327688082,0.117192885125388
"136",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.15,0.85,0.995,0.998,0.512,0.773,0.973,0.984,0.257,0.474,0.200287548969429,0.149691106406735
"137",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.15,0.85,1,0.999,0.744,0.769,0.994,0.996,0.377,0.457,0.234385770250776,0.183789327688082
"138",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.15,0.85,1,1,0.889,0.76,0.999,0.999,0.539,0.453,0.270083991532123,0.219487548969429
"139",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.748,0.988,0.05,0.929,0.75,0.941,0.05,0.661,0.136491106406735,0.0732455532033677
