"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"84",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.1,0.9,0.979,0.483,0.947,0.075,0.831,0.513,0.606,0.067,0.176189327688082,0.163540217047409
"85",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.069,0.188,0.05,0.169,0.088,0.166,0.05,0.126,0.052196442562694,0.0268982212813471
"86",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.223,0.275,0.114,0.165,0.204,0.257,0.075,0.126,0.079894663844041,0.0545964425626941
"87",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.506,0.369,0.31,0.16,0.375,0.36,0.143,0.121,0.109192885125388,0.083894663844041
"88",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.1,0.9,0.765,0.466,0.573,0.156,0.586,0.463,0.273,0.121,0.140091106406735,0.114792885125388
"89",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.1,0.9,0.926,0.58,0.799,0.154,0.772,0.591,0.422,0.119,0.172589327688082,0.147291106406735
"90",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.1,0.9,0.987,0.677,0.939,0.151,0.904,0.691,0.599,0.117,0.206687548969429,0.181389327688082
"91",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.091,0.353,0.05,0.311,0.135,0.31,0.05,0.225,0.079494663844041,0.0415473319220205
"92",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.292,0.482,0.115,0.316,0.305,0.448,0.076,0.228,0.107992885125388,0.0700455532033675
"93",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.1,0.9,0.564,0.573,0.294,0.297,0.49,0.547,0.146,0.216,0.138091106406735,0.100143774484715
"94",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.1,0.9,0.818,0.68,0.561,0.296,0.701,0.672,0.27,0.216,0.169789327688082,0.131841995766062
"95",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.1,0.9,0.949,0.742,0.798,0.278,0.842,0.738,0.417,0.201,0.203087548969429,0.165140217047409
"96",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.1,0.9,0.989,0.833,0.929,0.283,0.927,0.835,0.582,0.209,0.237985770250776,0.200038438328756
"97",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.121,0.555,0.05,0.491,0.2,0.494,0.05,0.351,0.107592885125388,0.0569964425626939
"98",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.346,0.66,0.112,0.483,0.386,0.615,0.074,0.353,0.136891106406735,0.0862946638440412
"99",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.1,0.9,0.63,0.768,0.287,0.483,0.603,0.734,0.146,0.346,0.167789327688082,0.117192885125388
"100",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.1,0.9,0.855,0.832,0.549,0.469,0.774,0.806,0.262,0.333,0.200287548969429,0.149691106406735
"101",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.1,0.9,0.963,0.894,0.787,0.467,0.896,0.883,0.415,0.336,0.234385770250776,0.183789327688082
"102",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.1,0.9,0.993,0.917,0.921,0.434,0.956,0.913,0.563,0.311,0.270083991532123,0.219487548969429
"103",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.164,0.747,0.05,0.678,0.29,0.685,0.05,0.509,0.136491106406735,0.0732455532033676
"104",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.1,0.9,0.409,0.819,0.109,0.661,0.482,0.776,0.073,0.495,0.166589327688082,0.103343774484715
"105",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.1,0.9,0.691,0.887,0.286,0.662,0.688,0.857,0.143,0.49,0.198287548969429,0.135041995766061
"106",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.1,0.9,0.888,0.924,0.545,0.646,0.831,0.905,0.251,0.469,0.231585770250776,0.168340217047409
"107",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.1,0.9,0.969,0.944,0.766,0.613,0.927,0.935,0.4,0.453,0.266483991532123,0.203238438328756
"108",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.995,0.968,0.918,0.612,0.972,0.964,0.553,0.447,0.30298221281347,0.239736659610103
"109",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"110",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.15,0.85,0.167,0.067,0.149,0.05,0.108,0.07,0.088,0.05,0.026098221281347,0.026098221281347
"111",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.15,0.85,0.509,0.115,0.454,0.05,0.289,0.125,0.211,0.05,0.0537964425626938,0.0537964425626938
"112",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.15,0.85,0.83,0.194,0.772,0.05,0.534,0.218,0.395,0.05,0.0830946638440411,0.0830946638440411
"113",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.15,0.85,0.97,0.295,0.946,0.05,0.768,0.338,0.603,0.05,0.113992885125388,0.113992885125388
"114",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.998,0.432,0.994,0.05,0.932,0.488,0.805,0.05,0.146491106406735,0.146491106406735
"115",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.15,0.85,0.057,0.101,0.05,0.093,0.065,0.094,0.05,0.079,0.0256982212813468,0.0130491106406734
"116",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.15,0.85,0.238,0.182,0.151,0.095,0.185,0.176,0.089,0.079,0.0525964425626939,0.0399473319220205
"117",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.15,0.85,0.602,0.28,0.451,0.092,0.417,0.286,0.215,0.079,0.0810946638440408,0.0684455532033674
"118",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.15,0.85,0.877,0.42,0.761,0.092,0.663,0.432,0.388,0.078,0.111192885125388,0.0985437744847144
"119",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.15,0.85,0.98,0.539,0.938,0.089,0.863,0.57,0.606,0.077,0.142891106406735,0.130241995766061
"120",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.15,0.85,0.998,0.672,0.99,0.089,0.957,0.701,0.781,0.076,0.176189327688082,0.163540217047409
"121",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.15,0.85,0.079,0.263,0.05,0.231,0.109,0.232,0.05,0.172,0.052196442562694,0.0268982212813471
"122",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.15,0.85,0.312,0.391,0.148,0.227,0.288,0.363,0.088,0.166,0.079894663844041,0.0545964425626941
"123",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.15,0.85,0.677,0.533,0.433,0.225,0.548,0.521,0.205,0.167,0.109192885125388,0.083894663844041
"124",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.15,0.85,0.917,0.662,0.757,0.22,0.779,0.655,0.387,0.161,0.140091106406735,0.114792885125388
"125",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.15,0.85,0.99,0.736,0.943,0.203,0.918,0.748,0.597,0.152,0.172589327688082,0.147291106406735
