"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"72",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.488,0.667,0.887,0.216,0.253,0.725,0.956,0.436,0.468,0.30298221281347,0.239736659610103
"73",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"74",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.055,0.058,0.088,0.05,0.07,0.053,0.102,0.05,0.087,0.0256982212813468,0.0130491106406734
"75",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.069,0.078,0.204,0.05,0.126,0.062,0.273,0.05,0.204,0.052196442562694,0.0268982212813471
"76",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.092,0.118,0.413,0.05,0.22,0.078,0.546,0.05,0.397,0.079494663844041,0.0415473319220205
"77",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.125,0.168,0.644,0.05,0.348,0.098,0.789,0.05,0.601,0.107592885125388,0.0569964425626939
"78",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.167,0.239,0.838,0.05,0.525,0.126,0.933,0.05,0.806,0.136491106406735,0.0732455532033676
"79",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.069,0.082,0.067,0.067,0.05,0.103,0.067,0.091,0.05,0.026098221281347,0.026098221281347
"80",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.092,0.115,0.159,0.066,0.068,0.131,0.182,0.09,0.086,0.0525964425626939,0.0399473319220205
"81",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.125,0.169,0.329,0.066,0.123,0.164,0.411,0.088,0.199,0.079894663844041,0.0545964425626941
"82",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.167,0.235,0.563,0.066,0.228,0.202,0.681,0.087,0.388,0.107992885125388,0.0700455532033675
"83",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.218,0.322,0.761,0.066,0.354,0.245,0.878,0.086,0.608,0.136891106406735,0.0862946638440412
"84",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.1,0.9,0.276,0.412,0.885,0.065,0.488,0.293,0.964,0.086,0.784,0.166589327688082,0.103343774484715
"85",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.125,0.172,0.117,0.117,0.05,0.262,0.118,0.215,0.05,0.0537964425626938,0.0537964425626938
"86",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.167,0.233,0.263,0.112,0.068,0.298,0.3,0.201,0.085,0.0810946638440408,0.0684455532033674
"87",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.218,0.305,0.481,0.111,0.125,0.359,0.556,0.205,0.2,0.109192885125388,0.083894663844041
