"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","Smz","Sdz"
"70",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.03,0,0.1,0.9,0.075,0.075,0.14,0.06,0.06,0.067,0.129,0.06,0.06,0.125541995766062,0.106568329805051
"71",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.1,0.9,0.08,0.08,0.16,0.06,0.08,0.07,0.149,0.06,0.08,0.140091106406735,0.114792885125388
"72",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.05,0,0.1,0.9,0.085,0.085,0.18,0.06,0.1,0.072,0.169,0.06,0.1,0.154840217047409,0.123217440445725
"73",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.1,0.9,0.09,0.09,0.2,0.06,0.12,0.075,0.189,0.06,0.12,0.169789327688082,0.131841995766062
"74",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.07,0,0.1,0.9,0.095,0.095,0.22,0.06,0.14,0.077,0.209,0.06,0.14,0.184938438328756,0.140666551086398
"75",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.1,0.9,0.1,0.1,0.24,0.06,0.16,0.08,0.229,0.06,0.16,0.200287548969429,0.149691106406735
"76",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.09,0,0.1,0.9,0.105,0.105,0.26,0.06,0.18,0.082,0.249,0.06,0.18,0.215836659610102,0.158915661727072
"77",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.1,0.9,0.11,0.11,0.28,0.06,0.2,0.085,0.269,0.06,0.2,0.231585770250776,0.168340217047409
"78",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0,0,0.1,0.9,0.07,0.07,0.093,0.07,0,0.07,0.08,0.07,0,0.0983437744847144,0.0983437744847144
"79",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.01,0,0.1,0.9,0.075,0.075,0.113,0.07,0.02,0.073,0.1,0.07,0.02,0.112492885125388,0.106168329805051
"80",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.02,0,0.1,0.9,0.08,0.08,0.133,0.07,0.04,0.075,0.12,0.07,0.04,0.126841995766062,0.114192885125388
"81",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.03,0,0.1,0.9,0.085,0.085,0.153,0.07,0.06,0.078,0.14,0.07,0.06,0.141391106406735,0.122417440445725
"82",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.04,0,0.1,0.9,0.09,0.09,0.173,0.07,0.08,0.08,0.16,0.07,0.08,0.156140217047409,0.130841995766062
"83",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.05,0,0.1,0.9,0.095,0.095,0.193,0.07,0.1,0.083,0.18,0.07,0.1,0.171089327688082,0.139466551086398
"84",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.06,0,0.1,0.9,0.1,0.1,0.213,0.07,0.12,0.085,0.2,0.07,0.12,0.186238438328756,0.148291106406735
"85",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.07,0,0.1,0.9,0.105,0.105,0.233,0.07,0.14,0.087,0.22,0.07,0.14,0.201587548969429,0.157315661727072
"86",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.08,0,0.1,0.9,0.11,0.11,0.253,0.07,0.16,0.09,0.24,0.07,0.16,0.217136659610103,0.166540217047408
"87",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.09,0,0.1,0.9,0.115,0.115,0.273,0.07,0.18,0.092,0.26,0.07,0.18,0.232885770250776,0.175964772367745
"88",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.1,0,0.1,0.9,0.12,0.12,0.293,0.07,0.2,0.095,0.28,0.07,0.2,0.24883488089145,0.185589327688082
"89",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.1,0.9,0.08,0.08,0.107,0.08,0,0.08,0.091,0.08,0,0.113992885125388,0.113992885125388
"90",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.01,0,0.1,0.9,0.085,0.085,0.127,0.08,0.02,0.082,0.111,0.08,0.02,0.128341995766062,0.122017440445725
"91",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.1,0.9,0.09,0.09,0.147,0.08,0.04,0.085,0.131,0.08,0.04,0.142891106406735,0.130241995766061
"92",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.03,0,0.1,0.9,0.095,0.095,0.167,0.08,0.06,0.087,0.151,0.08,0.06,0.157640217047409,0.138666551086398
"93",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.1,0.9,0.1,0.1,0.187,0.08,0.08,0.09,0.171,0.08,0.08,0.172589327688082,0.147291106406735
"94",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.05,0,0.1,0.9,0.105,0.105,0.207,0.08,0.1,0.093,0.191,0.08,0.1,0.187738438328756,0.156115661727072
"95",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.1,0.9,0.11,0.11,0.227,0.08,0.12,0.095,0.211,0.08,0.12,0.203087548969429,0.165140217047409
"96",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.07,0,0.1,0.9,0.115,0.115,0.247,0.08,0.14,0.098,0.231,0.08,0.14,0.218636659610103,0.174364772367746
"97",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.1,0.9,0.12,0.12,0.267,0.08,0.16,0.1,0.251,0.08,0.16,0.234385770250776,0.183789327688082
"98",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.09,0,0.1,0.9,0.125,0.125,0.287,0.08,0.18,0.103,0.271,0.08,0.18,0.25033488089145,0.193413883008419
"99",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.1,0.9,0.13,0.13,0.307,0.08,0.2,0.105,0.291,0.08,0.2,0.266483991532123,0.203238438328756
"100",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0,0,0.1,0.9,0.09,0.09,0.12,0.09,0,0.09,0.103,0.09,0,0.130041995766061,0.130041995766061
"101",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.01,0,0.1,0.9,0.095,0.095,0.14,0.09,0.02,0.093,0.123,0.09,0.02,0.144591106406735,0.138266551086399
"102",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.02,0,0.1,0.9,0.1,0.1,0.16,0.09,0.04,0.095,0.143,0.09,0.04,0.159340217047409,0.146691106406735
"103",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.03,0,0.1,0.9,0.105,0.105,0.18,0.09,0.06,0.097,0.163,0.09,0.06,0.174289327688082,0.155315661727072
"104",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.04,0,0.1,0.9,0.11,0.11,0.2,0.09,0.08,0.1,0.183,0.09,0.08,0.189438438328756,0.164140217047409
"105",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.05,0,0.1,0.9,0.115,0.115,0.22,0.09,0.1,0.103,0.203,0.09,0.1,0.204787548969429,0.173164772367745
"106",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.06,0,0.1,0.9,0.12,0.12,0.24,0.09,0.12,0.105,0.223,0.09,0.12,0.220336659610103,0.182389327688082
"107",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.07,0,0.1,0.9,0.125,0.125,0.26,0.09,0.14,0.107,0.243,0.09,0.14,0.236085770250776,0.191813883008419
"108",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.08,0,0.1,0.9,0.13,0.13,0.28,0.09,0.16,0.11,0.263,0.09,0.16,0.25203488089145,0.201438438328756
"109",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.09,0,0.1,0.9,0.135,0.135,0.3,0.09,0.18,0.112,0.283,0.09,0.18,0.268183991532123,0.211262993649092
"110",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.09,0.1,0,0.1,0.9,0.14,0.14,0.32,0.09,0.2,0.115,0.303,0.09,0.2,0.284533102172797,0.221287548969429
"111",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.1,0.1,0.133,0.1,0,0.1,0.114,0.1,0,0.146491106406735,0.146491106406735
"112",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.01,0,0.1,0.9,0.105,0.105,0.153,0.1,0.02,0.103,0.134,0.1,0.02,0.161240217047409,0.154915661727072
"113",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.1,0.9,0.11,0.11,0.173,0.1,0.04,0.105,0.154,0.1,0.04,0.176189327688082,0.163540217047409
"114",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.03,0,0.1,0.9,0.115,0.115,0.193,0.1,0.06,0.108,0.174,0.1,0.06,0.191338438328756,0.172364772367745
"115",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.1,0.9,0.12,0.12,0.213,0.1,0.08,0.11,0.194,0.1,0.08,0.206687548969429,0.181389327688082
"116",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.125,0.125,0.233,0.1,0.1,0.112,0.214,0.1,0.1,0.222236659610103,0.190613883008419
"117",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.1,0.9,0.13,0.13,0.253,0.1,0.12,0.115,0.234,0.1,0.12,0.237985770250776,0.200038438328756
"118",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.07,0,0.1,0.9,0.135,0.135,0.273,0.1,0.14,0.118,0.254,0.1,0.14,0.25393488089145,0.209662993649093
"119",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.1,0.9,0.14,0.14,0.293,0.1,0.16,0.12,0.274,0.1,0.16,0.270083991532123,0.219487548969429
"120",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.09,0,0.1,0.9,0.145,0.145,0.313,0.1,0.18,0.122,0.294,0.1,0.18,0.286433102172797,0.229512104289766
"121",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.15,0.15,0.333,0.1,0.2,0.125,0.314,0.1,0.2,0.30298221281347,0.239736659610103
