"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","Smz","Sdz"
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.05,0.95,0.175,0.219,0.079,0.123,0.175,0.23,0.069,0.123,0.175,0.23,0.069,0.123,0.157,0.187,0.058,0.086,0.079894663844041,0.0545964425626941
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.05,0.95,0.252,0.397,0.068,0.216,0.252,0.397,0.068,0.216,0.252,0.397,0.068,0.216,0.235,0.311,0.057,0.132,0.107992885125388,0.0700455532033675
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.05,0.95,0.349,0.586,0.068,0.344,0.349,0.586,0.068,0.344,0.349,0.586,0.068,0.344,0.332,0.461,0.057,0.195,0.136891106406735,0.0862946638440412
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.05,0.95,0.459,0.758,0.067,0.493,0.459,0.758,0.067,0.493,0.459,0.758,0.067,0.493,0.443,0.617,0.057,0.275,0.166589327688082,0.103343774484715
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.05,0.95,0.163,0.084,0.128,0.05,0.163,0.084,0.128,0.05,0.163,0.084,0.128,0.05,0.115,0.083,0.082,0.05,0.0537964425626938,0.0537964425626938
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.05,0.95,0.233,0.173,0.125,0.067,0.233,0.173,0.125,0.068,0.233,0.173,0.125,0.067,0.176,0.153,0.081,0.059,0.0810946638440408,0.0684455532033674
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.05,0.95,0.32,0.318,0.123,0.121,0.32,0.318,0.123,0.121,0.32,0.318,0.123,0.121,0.257,0.262,0.08,0.085,0.109192885125388,0.083894663844041
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.05,0.95,0.421,0.5,0.122,0.213,0.421,0.5,0.122,0.213,0.421,0.5,0.122,0.213,0.356,0.404,0.079,0.13,0.138091106406735,0.100143774484715
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.05,0.95,0.53,0.684,0.12,0.339,0.53,0.684,0.12,0.339,0.53,0.684,0.12,0.339,0.466,0.559,0.079,0.191,0.167789327688082,0.117192885125388
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.05,0.95,0.64,0.831,0.118,0.486,0.64,0.831,0.118,0.486,0.64,0.831,0.118,0.486,0.58,0.704,0.078,0.269,0.198287548969429,0.135041995766061
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.05,0.95,0.301,0.127,0.222,0.05,0.301,0.127,0.222,0.05,0.301,0.127,0.222,0.05,0.196,0.123,0.12,0.05,0.0830946638440411,0.0830946638440411
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.05,0.95,0.394,0.247,0.218,0.067,0.394,0.247,0.218,0.067,0.394,0.247,0.218,0.067,0.28,0.218,0.118,0.059,0.111192885125388,0.0985437744847144
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.05,0.95,0.496,0.415,0.213,0.12,0.496,0.415,0.213,0.12,0.496,0.415,0.213,0.12,0.38,0.349,0.116,0.084,0.140091106406735,0.114792885125388
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.05,0.95,0.601,0.602,0.209,0.21,0.601,0.602,0.209,0.21,0.601,0.602,0.209,0.21,0.489,0.5,0.115,0.127,0.169789327688082,0.131841995766062
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.05,0.95,0.701,0.768,0.205,0.334,0.701,0.768,0.205,0.334,0.701,0.768,0.205,0.334,0.6,0.651,0.113,0.187,0.200287548969429,0.149691106406735
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.05,0.95,0.79,0.887,0.201,0.479,0.79,0.887,0.201,0.479,0.79,0.887,0.201,0.479,0.704,0.78,0.111,0.263,0.231585770250776,0.168340217047409
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.05,0.95,0.473,0.187,0.346,0.05,0.473,0.187,0.346,0.05,0.473,0.187,0.346,0.05,0.304,0.18,0.172,0.05,0.113992885125388,0.113992885125388
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.05,0.95,0.572,0.335,0.339,0.067,0.572,0.335,0.339,0.067,0.572,0.335,0.339,0.067,0.405,0.298,0.168,0.058,0.142891106406735,0.130241995766061
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.05,0.95,0.669,0.517,0.331,0.119,0.669,0.517,0.331,0.119,0.669,0.517,0.331,0.119,0.513,0.442,0.165,0.083,0.172589327688082,0.147291106406735
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.05,0.95,0.758,0.696,0.324,0.207,0.758,0.696,0.324,0.207,0.758,0.696,0.324,0.207,0.621,0.595,0.163,0.125,0.203087548969429,0.165140217047409
"64",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.05,0.95,0.834,0.838,0.317,0.328,0.834,0.838,0.317,0.328,0.834,0.838,0.317,0.328,0.72,0.733,0.16,0.184,0.234385770250776,0.183789327688082
"65",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.05,0.95,0.893,0.927,0.31,0.471,0.893,0.927,0.31,0.471,0.893,0.927,0.31,0.471,0.805,0.842,0.157,0.257,0.266483991532123,0.203238438328756
"66",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.646,0.263,0.485,0.05,0.646,0.263,0.485,0.05,0.646,0.263,0.485,0.05,0.43,0.251,0.235,0.05,0.146491106406735,0.146491106406735
"67",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.05,0.95,0.732,0.432,0.475,0.067,0.732,0.432,0.475,0.067,0.732,0.432,0.475,0.067,0.537,0.386,0.23,0.058,0.176189327688082,0.163540217047409
"68",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.05,0.95,0.809,0.616,0.465,0.117,0.809,0.616,0.465,0.117,0.809,0.616,0.465,0.117,0.641,0.537,0.226,0.082,0.206687548969429,0.181389327688082
"69",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.05,0.95,0.871,0.777,0.455,0.204,0.871,0.777,0.455,0.204,0.871,0.777,0.455,0.204,0.736,0.682,0.221,0.123,0.237985770250776,0.200038438328756
"70",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.05,0.95,0.919,0.891,0.446,0.323,0.919,0.891,0.446,0.323,0.919,0.891,0.446,0.323,0.817,0.802,0.217,0.18,0.270083991532123,0.219487548969429
