"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.051,0.043,0.04,0.02,0.051,0.043,0.04,0.02,0.051,0.043,0.04,0.02,0.055,0.047,0.04,0.02,0.0810946638440408,0.0684455532033674
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.03,0,0.1,0.9,0.057,0.053,0.04,0.03,0.057,0.053,0.04,0.03,0.057,0.053,0.04,0.03,0.063,0.057,0.04,0.03,0.0950437744847146,0.0760701085237043
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.062,0.063,0.04,0.04,0.062,0.063,0.04,0.04,0.062,0.063,0.04,0.04,0.071,0.067,0.04,0.04,0.109192885125388,0.083894663844041
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.05,0,0.1,0.9,0.068,0.073,0.04,0.05,0.068,0.073,0.04,0.05,0.068,0.073,0.04,0.05,0.079,0.077,0.04,0.05,0.123541995766062,0.0919192191643776
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.1,0.9,0.074,0.083,0.04,0.06,0.074,0.083,0.04,0.06,0.074,0.083,0.04,0.06,0.087,0.087,0.04,0.06,0.138091106406735,0.100143774484715
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.07,0,0.1,0.9,0.08,0.093,0.04,0.07,0.08,0.093,0.04,0.07,0.08,0.093,0.04,0.07,0.095,0.097,0.04,0.07,0.152840217047409,0.108568329805051
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.1,0.9,0.086,0.103,0.04,0.08,0.086,0.103,0.04,0.08,0.086,0.103,0.04,0.08,0.104,0.107,0.04,0.08,0.167789327688082,0.117192885125388
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.09,0,0.1,0.9,0.093,0.113,0.04,0.09,0.093,0.113,0.04,0.09,0.093,0.113,0.04,0.09,0.112,0.117,0.04,0.09,0.182938438328756,0.126017440445725
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.1,0.9,0.099,0.123,0.04,0.1,0.099,0.123,0.04,0.1,0.099,0.123,0.04,0.1,0.12,0.127,0.04,0.1,0.198287548969429,0.135041995766061
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0,0.0682455532033674,0.0682455532033674
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.01,0,0.1,0.9,0.055,0.039,0.05,0.01,0.055,0.039,0.05,0.01,0.055,0.039,0.05,0.01,0.058,0.043,0.05,0.01,0.081994663844041,0.0756701085237044
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.02,0,0.1,0.9,0.061,0.049,0.05,0.02,0.061,0.049,0.05,0.02,0.061,0.049,0.05,0.02,0.065,0.053,0.05,0.02,0.0959437744847147,0.0832946638440411
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.03,0,0.1,0.9,0.067,0.059,0.05,0.03,0.067,0.059,0.05,0.03,0.067,0.059,0.05,0.03,0.073,0.063,0.05,0.03,0.110092885125388,0.0911192191643777
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.04,0,0.1,0.9,0.072,0.069,0.05,0.04,0.072,0.069,0.05,0.04,0.072,0.069,0.05,0.04,0.081,0.073,0.05,0.04,0.124441995766062,0.0991437744847146
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.089,0.083,0.05,0.05,0.138991106406735,0.107368329805051
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.06,0,0.1,0.9,0.084,0.089,0.05,0.06,0.085,0.089,0.05,0.06,0.084,0.089,0.05,0.06,0.097,0.093,0.05,0.06,0.153740217047408,0.115792885125388
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.07,0,0.1,0.9,0.09,0.099,0.05,0.07,0.091,0.099,0.05,0.07,0.09,0.099,0.05,0.07,0.106,0.103,0.05,0.07,0.168689327688082,0.124417440445725
"64",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.08,0,0.1,0.9,0.097,0.109,0.05,0.08,0.097,0.109,0.05,0.08,0.097,0.109,0.05,0.08,0.114,0.113,0.05,0.08,0.183838438328756,0.133241995766062
"65",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.09,0,0.1,0.9,0.103,0.119,0.05,0.09,0.103,0.119,0.05,0.09,0.103,0.119,0.05,0.09,0.122,0.123,0.05,0.09,0.199187548969429,0.142266551086398
"66",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.11,0.129,0.05,0.1,0.11,0.129,0.05,0.1,0.11,0.129,0.05,0.1,0.131,0.133,0.05,0.1,0.214736659610103,0.151491106406735
"67",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.06,0.035,0.06,0,0.06,0.035,0.06,0,0.06,0.035,0.06,0,0.06,0.04,0.06,0,0.0830946638440411,0.0830946638440411
"68",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.01,0,0.1,0.9,0.065,0.045,0.06,0.01,0.065,0.045,0.06,0.01,0.065,0.045,0.06,0.01,0.068,0.05,0.06,0.01,0.0970437744847146,0.0907192191643778
"69",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.1,0.9,0.071,0.055,0.06,0.02,0.071,0.055,0.06,0.02,0.071,0.055,0.06,0.02,0.076,0.06,0.06,0.02,0.111192885125388,0.0985437744847144
"70",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.03,0,0.1,0.9,0.077,0.065,0.06,0.03,0.077,0.065,0.06,0.03,0.077,0.065,0.06,0.03,0.083,0.07,0.06,0.03,0.125541995766062,0.106568329805051
"71",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.1,0.9,0.083,0.075,0.06,0.04,0.083,0.075,0.06,0.04,0.083,0.075,0.06,0.04,0.091,0.08,0.06,0.04,0.140091106406735,0.114792885125388
"72",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.05,0,0.1,0.9,0.089,0.085,0.06,0.05,0.089,0.084,0.06,0.05,0.089,0.084,0.06,0.05,0.099,0.09,0.06,0.05,0.154840217047409,0.123217440445725
"73",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.1,0.9,0.095,0.094,0.06,0.06,0.095,0.095,0.06,0.06,0.095,0.094,0.06,0.06,0.108,0.1,0.06,0.06,0.169789327688082,0.131841995766062
