"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.057,0.1,0,0.1,0.057,0.1,0,0.1,0.057,0.1,0,0.1,0.079,0.1,0,0.1,"13.65%","7.32%"
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0,"6.82%","6.82%"
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.089,0.083,0.05,0.05,"13.90%","10.74%"
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.109,0.129,0.05,0.1,0.109,0.129,0.05,0.1,0.109,0.129,0.05,0.1,0.13,0.133,0.05,0.1,"21.47%","15.15%"
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0,"14.65%","14.65%"
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.129,0.107,0.1,0.05,0.129,0.107,0.1,0.05,0.129,0.107,0.1,0.05,0.14,0.117,0.1,0.05,"22.22%","19.06%"
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.161,0.157,0.1,0.1,0.161,0.157,0.1,0.1,0.161,0.157,0.1,0.1,0.182,0.167,0.1,0.1,"30.30%","23.97%"
"64",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%"
"65",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.15,0.85,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.037,0.05,0,0.05,"7.32%","3.79%"
"66",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.15,0.85,0.055,0.1,0,0.1,0.055,0.1,0,0.1,0.055,0.1,0,0.1,0.077,0.1,0,0.1,"15.14%","8.07%"
"67",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0,"7.57%","7.57%"
"68",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.15,0.85,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.088,0.083,0.05,0.05,"15.39%","11.86%"
"69",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.15,0.85,0.107,0.129,0.05,0.1,0.107,0.129,0.05,0.1,0.107,0.129,0.05,0.1,0.129,0.133,0.05,0.1,"23.71%","16.64%"
"70",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.15,0.85,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0,"16.14%","16.14%"
"71",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.15,0.85,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.139,0.117,0.1,0.05,"24.46%","20.93%"
"72",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.15,0.85,0.159,0.158,0.1,0.1,0.159,0.157,0.1,0.1,0.159,0.157,0.1,0.1,0.18,0.167,0.1,0.1,"33.28%","26.21%"
