"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"53",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.05,0.95,0.88,0.779,0.444,0.159,0.804,0.728,0.284,0.118,0.172589327688082,0.147291106406735
"54",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.05,0.95,0.958,0.868,0.608,0.157,0.907,0.827,0.399,0.116,0.206687548969429,0.181389327688082
"55",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.05,0.95,0.223,0.48,0.05,0.32,0.234,0.402,0.05,0.221,0.0794946638440411,0.0415473319220207
"56",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.05,0.95,0.436,0.625,0.076,0.314,0.416,0.545,0.065,0.217,0.107992885125388,0.0700455532033676
"57",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.05,0.95,0.666,0.752,0.153,0.309,0.613,0.68,0.109,0.212,0.138091106406735,0.100143774484715
"58",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.05,0.95,0.842,0.85,0.278,0.303,0.781,0.792,0.182,0.207,0.169789327688082,0.131841995766062
"59",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.05,0.95,0.941,0.917,0.435,0.297,0.894,0.875,0.278,0.203,0.203087548969429,0.165140217047409
"60",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.05,0.95,0.982,0.958,0.598,0.292,0.956,0.931,0.391,0.199,0.237985770250776,0.200038438328756
"61",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.05,0.95,0.362,0.722,0.05,0.507,0.378,0.625,0.05,0.35,0.107592885125388,0.056996442562694
"62",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.05,0.95,0.597,0.829,0.075,0.499,0.578,0.75,0.065,0.342,0.136891106406735,0.0862946638440413
"63",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.05,0.95,0.797,0.905,0.15,0.491,0.755,0.846,0.108,0.334,0.167789327688082,0.117192885125388
"64",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.05,0.95,0.919,0.952,0.272,0.482,0.879,0.913,0.178,0.327,0.200287548969429,0.149691106406735
"65",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.05,0.95,0.974,0.978,0.426,0.473,0.949,0.955,0.272,0.319,0.234385770250776,0.183789327688082
"66",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.05,0.95,0.994,0.99,0.587,0.465,0.982,0.978,0.383,0.312,0.270083991532123,0.219487548969429
"67",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.526,0.89,0.05,0.692,0.543,0.811,0.05,0.497,0.136491106406735,0.0732455532033677
"68",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.05,0.95,0.745,0.944,0.075,0.683,0.729,0.891,0.064,0.486,0.166589327688082,0.103343774484715
"69",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.05,0.95,0.892,0.974,0.148,0.673,0.864,0.942,0.106,0.476,0.198287548969429,0.135041995766061
"70",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.05,0.95,0.964,0.989,0.267,0.663,0.942,0.972,0.175,0.465,0.231585770250776,0.168340217047409
"71",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.05,0.95,0.99,0.996,0.417,0.653,0.979,0.987,0.267,0.455,0.266483991532123,0.203238438328756
"72",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.998,0.998,0.576,0.643,0.993,0.995,0.375,0.444,0.30298221281347,0.239736659610103
"73",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"74",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.144,0.084,0.108,0.05,0.118,0.084,0.083,0.05,0.0260982212813471,0.0260982212813471
"75",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.418,0.191,0.282,0.05,0.324,0.188,0.184,0.05,0.0537964425626939,0.0537964425626939
"76",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.738,0.363,0.531,0.05,0.604,0.357,0.343,0.05,0.0830946638440412,0.0830946638440412
"77",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.1,0.9,0.928,0.568,0.762,0.05,0.833,0.557,0.531,0.05,0.113992885125388,0.113992885125388
"78",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.988,0.753,0.908,0.05,0.951,0.74,0.706,0.05,0.146491106406735,0.146491106406735
"79",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.1,0.9,0.086,0.148,0.05,0.11,0.089,0.129,0.05,0.088,0.0256982212813469,0.0130491106406735
"80",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.301,0.304,0.107,0.109,0.266,0.271,0.083,0.088,0.052596442562694,0.0399473319220206
"81",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.632,0.507,0.276,0.108,0.543,0.465,0.18,0.087,0.081094663844041,0.0684455532033676
"82",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.1,0.9,0.88,0.706,0.521,0.107,0.795,0.665,0.336,0.086,0.111192885125388,0.0985437744847145
"83",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.1,0.9,0.977,0.854,0.752,0.106,0.935,0.823,0.521,0.085,0.142891106406735,0.130241995766062
"84",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.1,0.9,0.997,0.941,0.901,0.104,0.986,0.922,0.696,0.084,0.176189327688082,0.163540217047409
"85",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.1,0.9,0.203,0.443,0.05,0.297,0.215,0.372,0.05,0.207,0.0521964425626941,0.0268982212813472
"86",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.516,0.652,0.105,0.292,0.481,0.578,0.082,0.203,0.0798946638440411,0.0545964425626943
"87",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.814,0.82,0.271,0.287,0.751,0.762,0.177,0.199,0.109192885125388,0.0838946638440411
"88",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.1,0.9,0.957,0.924,0.512,0.282,0.917,0.888,0.329,0.195,0.140091106406735,0.114792885125388
"89",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.1,0.9,0.994,0.974,0.742,0.278,0.981,0.956,0.511,0.191,0.172589327688082,0.147291106406735
"90",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.1,0.9,1,0.993,0.894,0.272,0.997,0.986,0.685,0.187,0.206687548969429,0.181389327688082
"91",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.1,0.9,0.399,0.779,0.05,0.568,0.42,0.686,0.05,0.397,0.0794946638440411,0.0415473319220207
"92",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.729,0.902,0.104,0.56,0.704,0.842,0.081,0.389,0.107992885125388,0.0700455532033676
"93",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.1,0.9,0.927,0.965,0.271,0.551,0.895,0.934,0.174,0.381,0.138091106406735,0.100143774484715
"94",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.1,0.9,0.989,0.99,0.502,0.542,0.974,0.977,0.323,0.372,0.169789327688082,0.131841995766062
"95",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.1,0.9,0.999,0.998,0.731,0.533,0.996,0.994,0.502,0.364,0.203087548969429,0.165140217047409
"96",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.1,0.9,1,1,0.886,0.524,0.999,0.998,0.674,0.356,0.237985770250776,0.200038438328756
"97",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.1,0.9,0.63,0.954,0.05,0.808,0.653,0.902,0.05,0.614,0.107592885125388,0.056996442562694
"98",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.883,0.986,0.104,0.8,0.869,0.964,0.08,0.603,0.136891106406735,0.0862946638440413
"99",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.1,0.9,0.979,0.997,0.26,0.791,0.966,0.989,0.171,0.592,0.167789327688082,0.117192885125388
"100",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.1,0.9,0.998,0.999,0.492,0.783,0.994,0.997,0.316,0.58,0.200287548969429,0.149691106406735
"101",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.1,0.9,1,1,0.72,0.774,0.999,0.999,0.492,0.569,0.234385770250776,0.183789327688082
"102",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.1,0.9,1,1,0.878,0.764,1,1,0.664,0.557,0.270083991532123,0.219487548969429
"103",4000,8000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.823,0.995,0.05,0.941,0.839,0.982,0.05,0.797,0.136491106406735,0.0732455532033677
